timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-31,371.78,374.66,371.232,373.88,373.88,78520702,0.0000,1.0
2020-12-30,372.34,373.1,371.57,371.99,371.99,49455259,0.0000,1.0
2020-12-29,373.81,374.0,370.83,371.46,371.46,53680451,0.0000,1.0
2020-12-28,371.74,372.59,371.07,372.17,372.17,37932709,0.0000,1.0
2020-12-24,368.08,369.03,367.45,369.0,369.0,26457853,0.0000,1.0
2020-12-23,368.28,369.62,367.2172,367.57,367.57,46201402,0.0000,1.0
2020-12-22,368.21,368.3317,366.03,367.24,367.24,48388462,0.0000,1.0
2020-12-21,364.97,378.46,362.03,367.86,367.86,96386745,0.0000,1.0
2020-12-18,370.97,371.15,367.02,369.18,369.18,136542328,1.5800,1.0
2020-12-17,371.94,372.46,371.05,372.24,370.653692955,64119472,0.0000,1.0
2020-12-16,369.82,371.16,368.8676,370.17,368.592514295,58420517,0.0000,1.0
2020-12-15,367.4,369.59,365.92,369.59,368.014985975,64071099,0.0000,1.0
2020-12-14,368.64,369.8,364.47,364.66,363.105995253,69216174,0.0000,1.0
2020-12-11,364.9,366.7402,363.26,366.3,364.739006365,57698614,0.0000,1.0
2020-12-10,365.37,367.86,364.43,366.73,365.167173913,57735353,0.0000,1.0
2020-12-09,370.88,371.05,365.95,366.85,365.286662531,74098312,0.0000,1.0
2020-12-08,367.72,370.78,367.67,370.17,368.592514295,42458859,0.0000,1.0
2020-12-07,369.02,369.62,367.72,369.09,367.517116733,48944269,0.0000,1.0
2020-12-04,367.32,369.85,367.22,369.85,368.27387798,50749859,0.0000,1.0
2020-12-03,366.68,368.19,365.5,366.69,365.127344374,62881998,0.0000,1.0
2020-12-02,364.82,366.96,364.2,366.79,365.226918222,45927000,0.0000,1.0
2020-12-01,365.57,367.68,364.93,366.02,364.46019959,72509670,0.0000,1.0
2020-11-30,362.83,363.12,359.17,362.06,360.517075197,83872709,0.0000,1.0
2020-11-27,363.84,364.18,362.58,363.67,362.120214155,28514072,0.0000,1.0
2020-11-25,363.13,363.16,361.48,362.66,361.114518287,45330890,0.0000,1.0
2020-11-24,360.21,363.81,359.29,363.22,361.672131837,60985003,0.0000,1.0
2020-11-23,357.28,358.82,354.865,357.46,355.936678175,63230608,0.0000,1.0
2020-11-20,357.5,357.72,355.25,355.33,353.815755206,70411890,0.0000,1.0
2020-11-19,355.6,358.18,354.15,357.78,356.255314489,59940947,0.0000,1.0
2020-11-18,360.91,361.5,356.24,356.28,354.761706764,70591299,0.0000,1.0
2020-11-17,359.97,361.92,358.34,360.62,359.083211781,66111009,0.0000,1.0
2020-11-16,360.98,362.78,359.59,362.57,361.024901823,74541138,0.0000,1.0
2020-11-13,355.27,358.9,354.71,358.1,356.573950804,62959429,0.0000,1.0
2020-11-12,355.58,356.7182,351.26,353.21,351.704789621,68118563,0.0000,1.0
